x1,x2,x3,x4,y
2025,CO2,Infeasibility,ES,0.0
2030,CO2,Infeasibility,ES,0.0
2035,CO2,Infeasibility,ES,0.0
2040,CO2,Infeasibility,ES,0.0
2045,CO2,Infeasibility,ES,0.0
2050,CO2,Infeasibility,ES,0.0
2018,CO2,Power,FI,0.0
2025,CO2,Power,FI,0.0
2030,CO2,Power,FI,0.0
2035,CO2,Power,FI,0.0
2040,CO2,Power,FI,0.0
2045,CO2,Power,FI,0.0
2050,CO2,Power,FI,0.0
2018,CO2,Industry,FI,16.75534404004914
2025,CO2,Industry,FI,0.061175731386262124
2030,CO2,Industry,FI,0.0
2035,CO2,Industry,FI,0.0
2040,CO2,Industry,FI,0.0
2045,CO2,Industry,FI,0.0
2050,CO2,Industry,FI,0.0
2018,CO2,Buildings,FI,9.002502555812583
2025,CO2,Buildings,FI,0.0
2030,CO2,Buildings,FI,0.0
2035,CO2,Buildings,FI,0.0
2040,CO2,Buildings,FI,0.0
2045,CO2,Buildings,FI,0.0
2050,CO2,Buildings,FI,0.0
2018,CO2,Transportation,FI,1.7620011151713595
2025,CO2,Transportation,FI,0.9309386061141528
2030,CO2,Transportation,FI,0.22129912905773202
2035,CO2,Transportation,FI,0.020376330003729785
2040,CO2,Transportation,FI,0.007910340225726778
2045,CO2,Transportation,FI,0.00775293592730173
2050,CO2,Transportation,FI,0.007597326944513131
2018,CO2,Resources,FI,0.0
2025,CO2,Resources,FI,0.0
2030,CO2,Resources,FI,0.0
2035,CO2,Resources,FI,0.0
2040,CO2,Resources,FI,0.0
2045,CO2,Resources,FI,0.0
2050,CO2,Resources,FI,0.0
2018,CO2,Storages,FI,0.0
2025,CO2,Storages,FI,0.0
2030,CO2,Storages,FI,0.0
2035,CO2,Storages,FI,0.0
2040,CO2,Storages,FI,0.0
2045,CO2,Storages,FI,0.0
2050,CO2,Storages,FI,0.0
2018,CO2,Transformation,FI,0.0
2025,CO2,Transformation,FI,0.0
2030,CO2,Transformation,FI,0.0
2035,CO2,Transformation,FI,0.0
2040,CO2,Transformation,FI,0.0
2045,CO2,Transformation,FI,0.0
2050,CO2,Transformation,FI,0.0
2018,CO2,CHP,FI,0.0
2025,CO2,CHP,FI,0.0
2030,CO2,CHP,FI,0.0
2035,CO2,CHP,FI,0.0
2040,CO2,CHP,FI,0.0
2045,CO2,CHP,FI,0.0
2050,CO2,CHP,FI,0.0
2018,CO2,Infeasibility,FI,0.0
2025,CO2,Infeasibility,FI,0.0
2030,CO2,Infeasibility,FI,0.0
2035,CO2,Infeasibility,FI,0.0
2040,CO2,Infeasibility,FI,0.0
2045,CO2,Infeasibility,FI,0.0
2050,CO2,Infeasibility,FI,0.0
2018,CO2,Power,FR,0.0
2025,CO2,Power,FR,0.0
2030,CO2,Power,FR,0.0
2035,CO2,Power,FR,0.0
2040,CO2,Power,FR,0.0
2045,CO2,Power,FR,0.0
2050,CO2,Power,FR,0.0
2018,CO2,Industry,FR,68.88196982563142
2025,CO2,Industry,FR,2.253623959174873
2030,CO2,Industry,FR,0.0
2035,CO2,Industry,FR,0.0
2040,CO2,Industry,FR,0.0
2045,CO2,Industry,FR,0.0
2050,CO2,Industry,FR,0.0
2018,CO2,Buildings,FR,66.59776547403769
2025,CO2,Buildings,FR,8.24125902498926
2030,CO2,Buildings,FR,0.0
2035,CO2,Buildings,FR,0.0
2040,CO2,Buildings,FR,0.0
2045,CO2,Buildings,FR,0.0
2050,CO2,Buildings,FR,0.0
2018,CO2,Transportation,FR,19.002427672747647
2025,CO2,Transportation,FR,3.5224722561636224
2030,CO2,Transportation,FR,2.4698939228058716
2035,CO2,Transportation,FR,0.2451424882316746
2040,CO2,Transportation,FR,0.12107664423659154
2045,CO2,Transportation,FR,0.11862433560464584
2050,CO2,Transportation,FR,0.08762205716328599
2018,CO2,Resources,FR,0.0
2025,CO2,Resources,FR,0.0
2030,CO2,Resources,FR,0.0
2035,CO2,Resources,FR,0.0
2040,CO2,Resources,FR,0.0
2045,CO2,Resources,FR,0.0
2050,CO2,Resources,FR,0.0
2018,CO2,Storages,FR,0.0
2025,CO2,Storages,FR,0.0
2030,CO2,Storages,FR,0.0
2035,CO2,Storages,FR,0.0
2040,CO2,Storages,FR,0.0
2045,CO2,Storages,FR,0.0
2050,CO2,Storages,FR,0.0
2018,CO2,Transformation,FR,0.0
2025,CO2,Transformation,FR,0.0
2030,CO2,Transformation,FR,0.0
2035,CO2,Transformation,FR,0.0
2040,CO2,Transformation,FR,0.0
